x-axis	ch2
-2.50000000E-01	5.121E-01
-2.49500000E-01	5.123E-01
-2.49000000E-01	5.123E-01
-2.48500000E-01	5.123E-01
-2.48000000E-01	5.123E-01
-2.47500000E-01	5.123E-01
-2.47000000E-01	5.123E-01
-2.46500000E-01	5.121E-01
-2.46000000E-01	5.121E-01
-2.45500000E-01	5.121E-01
-2.45000000E-01	5.119E-01
-2.44500000E-01	5.119E-01
-2.44000000E-01	5.117E-01
-2.43500000E-01	5.117E-01
-2.43000000E-01	5.117E-01
-2.42500000E-01	5.115E-01
-2.42000000E-01	5.115E-01
-2.41500000E-01	5.113E-01
-2.41000000E-01	5.113E-01
-2.40500000E-01	5.111E-01
-2.40000000E-01	5.111E-01
-2.39500000E-01	5.109E-01
-2.39000000E-01	5.109E-01
-2.38500000E-01	5.107E-01
-2.38000000E-01	5.105E-01
-2.37500000E-01	5.105E-01
-2.37000000E-01	5.104E-01
-2.36500000E-01	5.104E-01
-2.36000000E-01	5.102E-01
-2.35500000E-01	5.102E-01
-2.35000000E-01	5.100E-01
-2.34500000E-01	5.098E-01
-2.34000000E-01	5.098E-01
-2.33500000E-01	5.096E-01
-2.33000000E-01	5.094E-01
-2.32500000E-01	5.092E-01
-2.32000000E-01	5.090E-01
-2.31500000E-01	5.088E-01
-2.31000000E-01	5.086E-01
-2.30500000E-01	5.086E-01
-2.30000000E-01	5.084E-01
-2.29500000E-01	5.082E-01
-2.29000000E-01	5.080E-01
-2.28500000E-01	5.078E-01
-2.28000000E-01	5.076E-01
-2.27500000E-01	5.074E-01
-2.27000000E-01	5.072E-01
-2.26500000E-01	5.070E-01
-2.26000000E-01	5.068E-01
-2.25500000E-01	5.064E-01
-2.25000000E-01	5.062E-01
-2.24500000E-01	5.061E-01
-2.24000000E-01	5.057E-01
-2.23500000E-01	5.055E-01
-2.23000000E-01	5.051E-01
-2.22500000E-01	5.049E-01
-2.22000000E-01	5.045E-01
-2.21500000E-01	5.043E-01
-2.21000000E-01	5.039E-01
