x-axis	ch2
-2.50000000E-01	2.160E-02
-2.49500000E-01	2.158E-02
-2.49000000E-01	2.158E-02
-2.48500000E-01	2.157E-02
-2.48000000E-01	2.159E-02
-2.47500000E-01	2.157E-02
-2.47000000E-01	2.160E-02
-2.46500000E-01	2.159E-02
-2.46000000E-01	2.158E-02
-2.45500000E-01	2.158E-02
-2.45000000E-01	2.160E-02
-2.44500000E-01	2.157E-02
-2.44000000E-01	2.159E-02
-2.43500000E-01	2.156E-02
-2.43000000E-01	2.158E-02
-2.42500000E-01	2.159E-02
-2.42000000E-01	2.158E-02
-2.41500000E-01	2.157E-02
-2.41000000E-01	2.157E-02
-2.40500000E-01	2.157E-02
-2.40000000E-01	2.155E-02
-2.39500000E-01	2.156E-02
-2.39000000E-01	2.156E-02
-2.38500000E-01	2.157E-02
-2.38000000E-01	2.157E-02
-2.37500000E-01	2.156E-02
-2.37000000E-01	2.156E-02
-2.36500000E-01	2.154E-02
-2.36000000E-01	2.155E-02
-2.35500000E-01	2.154E-02
-2.35000000E-01	2.155E-02
-2.34500000E-01	2.155E-02
-2.34000000E-01	2.157E-02
-2.33500000E-01	2.155E-02
-2.33000000E-01	2.156E-02
-2.32500000E-01	2.156E-02
-2.32000000E-01	2.154E-02
-2.31500000E-01	2.156E-02
-2.31000000E-01	2.152E-02
-2.30500000E-01	2.155E-02
-2.30000000E-01	2.153E-02
-2.29500000E-01	2.153E-02
-2.29000000E-01	2.152E-02
-2.28500000E-01	2.154E-02
-2.28000000E-01	2.151E-02
-2.27500000E-01	2.154E-02
-2.27000000E-01	2.151E-02
-2.26500000E-01	2.150E-02
-2.26000000E-01	2.151E-02
-2.25500000E-01	2.151E-02
-2.25000000E-01	2.153E-02
-2.24500000E-01	2.151E-02
-2.24000000E-01	2.152E-02
-2.23500000E-01	2.150E-02
-2.23000000E-01	2.150E-02
-2.22500000E-01	2.148E-02
-2.22000000E-01	2.149E-02
-2.21500000E-01	2.150E-02
-2.21000000E-01	2.147E-02
-2.20500000E-01	2.150E-02
-2.20000000E-01	2.148E-02
-2.19500000E-01	2.150E-02
-2.19000000E-01	2.147E-02
-2.18500000E-01	2.148E-02
-2.18000000E-01	2.146E-02
-2.17500000E-01	2.144E-02
-2.17000000E-01	2.146E-02
-2.16500000E-01	2.145E-02
-2.16000000E-01	2.146E-02
-2.15500000E-01	2.144E-02
-2.15000000E-01	2.147E-02
-2.14500000E-01	2.145E-02
-2.14000000E-01	2.147E-02
-2.13500000E-01	2.145E-02
-2.13000000E-01	2.146E-02
-2.12500000E-01	2.144E-02
-2.12000000E-01	2.145E-02
-2.11500000E-01	2.144E-02
-2.11000000E-01	2.143E-02
-2.10500000E-01	2.144E-02
-2.10000000E-01	2.143E-02
-2.09500000E-01	2.144E-02
-2.09000000E-01	2.143E-02
-2.08500000E-01	2.141E-02
-2.08000000E-01	2.141E-02
-2.07500000E-01	2.141E-02
-2.07000000E-01	2.139E-02
-2.06500000E-01	2.141E-02
-2.06000000E-01	2.139E-02
-2.05500000E-01	2.139E-02
-2.05000000E-01	2.139E-02
-2.04500000E-01	2.138E-02
-2.04000000E-01	2.138E-02
-2.03500000E-01	2.135E-02
-2.03000000E-01	2.137E-02
-2.02500000E-01	2.136E-02
-2.02000000E-01	2.134E-02
-2.01500000E-01	2.136E-02
-2.01000000E-01	2.134E-02
-2.00500000E-01	2.135E-02
-2.00000000E-01	2.134E-02
-1.99500000E-01	2.134E-02
-1.99000000E-01	2.131E-02
-1.98500000E-01	2.134E-02
-1.98000000E-01	2.132E-02
-1.97500000E-01	2.130E-02
-1.97000000E-01	2.132E-02
-1.96500000E-01	2.132E-02
-1.96000000E-01	2.131E-02
-1.95500000E-01	2.130E-02
-1.95000000E-01	2.130E-02
-1.94500000E-01	2.128E-02
-1.94000000E-01	2.127E-02
-1.93500000E-01	2.127E-02
-1.93000000E-01	2.127E-02
-1.92500000E-01	2.128E-02
-1.92000000E-01	2.126E-02
