x-axis	ch2
-2.50000000E-01	5.244E-01
-2.49500000E-01	5.246E-01
-2.49000000E-01	5.246E-01
-2.48500000E-01	5.246E-01
-2.48000000E-01	5.246E-01
-2.47500000E-01	5.246E-01
-2.47000000E-01	5.246E-01
-2.46500000E-01	5.244E-01
-2.46000000E-01	5.244E-01
-2.45500000E-01	5.244E-01
-2.45000000E-01	5.242E-01
-2.44500000E-01	5.242E-01
-2.44000000E-01	5.242E-01
-2.43500000E-01	5.240E-01
-2.43000000E-01	5.240E-01
-2.42500000E-01	5.240E-01
-2.42000000E-01	5.238E-01
-2.41500000E-01	5.238E-01
-2.41000000E-01	5.238E-01
-2.40500000E-01	5.236E-01
-2.40000000E-01	5.236E-01
-2.39500000E-01	5.234E-01
-2.39000000E-01	5.234E-01
-2.38500000E-01	5.232E-01
-2.38000000E-01	5.232E-01
-2.37500000E-01	5.230E-01
-2.37000000E-01	5.230E-01
-2.36500000E-01	5.229E-01
-2.36000000E-01	5.229E-01
-2.35500000E-01	5.227E-01
-2.35000000E-01	5.227E-01
-2.34500000E-01	5.225E-01
-2.34000000E-01	5.225E-01
-2.33500000E-01	5.223E-01
-2.33000000E-01	5.221E-01
-2.32500000E-01	5.221E-01
-2.32000000E-01	5.219E-01
-2.31500000E-01	5.219E-01
-2.31000000E-01	5.217E-01
-2.30500000E-01	5.215E-01
-2.30000000E-01	5.215E-01
-2.29500000E-01	5.213E-01
-2.29000000E-01	5.211E-01
-2.28500000E-01	5.211E-01
-2.28000000E-01	5.209E-01
-2.27500000E-01	5.207E-01
-2.27000000E-01	5.205E-01
-2.26500000E-01	5.203E-01
-2.26000000E-01	5.201E-01
-2.25500000E-01	5.201E-01
-2.25000000E-01	5.199E-01
-2.24500000E-01	5.197E-01
-2.24000000E-01	5.195E-01
-2.23500000E-01	5.193E-01
-2.23000000E-01	5.191E-01
-2.22500000E-01	5.189E-01
-2.22000000E-01	5.187E-01
-2.21500000E-01	5.186E-01
-2.21000000E-01	5.184E-01
-2.20500000E-01	5.182E-01
-2.20000000E-01	5.180E-01
-2.19500000E-01	5.178E-01
-2.19000000E-01	5.174E-01
-2.18500000E-01	5.172E-01
-2.18000000E-01	5.170E-01
-2.17500000E-01	5.166E-01
-2.17000000E-01	5.164E-01
-2.16500000E-01	5.162E-01
-2.16000000E-01	5.158E-01
-2.15500000E-01	5.156E-01
-2.15000000E-01	5.152E-01
-2.14500000E-01	5.150E-01
-2.14000000E-01	5.146E-01
-2.13500000E-01	5.145E-01
-2.13000000E-01	5.141E-01
-2.12500000E-01	5.137E-01
-2.12000000E-01	5.133E-01
-2.11500000E-01	5.129E-01
-2.11000000E-01	5.125E-01
-2.10500000E-01	5.123E-01
-2.10000000E-01	5.119E-01
-2.09500000E-01	5.113E-01
-2.09000000E-01	5.109E-01
-2.08500000E-01	5.105E-01
-2.08000000E-01	5.102E-01
-2.07500000E-01	5.096E-01
-2.07000000E-01	5.092E-01
-2.06500000E-01	5.086E-01
-2.06000000E-01	5.082E-01
-2.05500000E-01	5.076E-01
-2.05000000E-01	5.072E-01
-2.04500000E-01	5.066E-01
-2.04000000E-01	5.061E-01
-2.03500000E-01	5.055E-01
-2.03000000E-01	5.049E-01
-2.02500000E-01	5.041E-01
-2.02000000E-01	5.035E-01
-2.01500000E-01	5.027E-01
-2.01000000E-01	5.021E-01
-2.00500000E-01	5.016E-01
-2.00000000E-01	5.008E-01
-1.99500000E-01	5.000E-01
-1.99000000E-01	4.992E-01
-1.98500000E-01	4.986E-01
-1.98000000E-01	4.979E-01
-1.97500000E-01	4.971E-01
-1.97000000E-01	4.963E-01
-1.96500000E-01	4.955E-01
-1.96000000E-01	4.945E-01
-1.95500000E-01	4.937E-01
-1.95000000E-01	4.930E-01
-1.94500000E-01	4.918E-01
-1.94000000E-01	4.908E-01
-1.93500000E-01	4.898E-01
-1.93000000E-01	4.889E-01
-1.92500000E-01	4.879E-01
-1.92000000E-01	4.871E-01
-1.91500000E-01	4.859E-01
-1.91000000E-01	4.850E-01
-1.90500000E-01	4.840E-01
-1.90000000E-01	4.828E-01
-1.89500000E-01	4.816E-01
-1.89000000E-01	4.805E-01
-1.88500000E-01	4.793E-01
-1.88000000E-01	4.781E-01
-1.87500000E-01	4.770E-01
-1.87000000E-01	4.756E-01
-1.86500000E-01	4.744E-01
-1.86000000E-01	4.730E-01
-1.85500000E-01	4.719E-01
-1.85000000E-01	4.707E-01
-1.84500000E-01	4.691E-01
-1.84000000E-01	4.680E-01
-1.83500000E-01	4.666E-01
-1.83000000E-01	4.652E-01
-1.82500000E-01	4.637E-01
-1.82000000E-01	4.623E-01
-1.81500000E-01	4.609E-01
-1.81000000E-01	4.594E-01
-1.80500000E-01	4.576E-01
-1.80000000E-01	4.561E-01
-1.79500000E-01	4.543E-01
-1.79000000E-01	4.529E-01
-1.78500000E-01	4.514E-01
-1.78000000E-01	4.498E-01
-1.77500000E-01	4.482E-01
-1.77000000E-01	4.467E-01
-1.76500000E-01	4.451E-01
-1.76000000E-01	4.436E-01
-1.75500000E-01	4.418E-01
-1.75000000E-01	4.400E-01
-1.74500000E-01	4.385E-01
-1.74000000E-01	4.367E-01
-1.73500000E-01	4.350E-01
-1.73000000E-01	4.328E-01
-1.72500000E-01	4.312E-01
-1.72000000E-01	4.293E-01
-1.71500000E-01	4.275E-01
-1.71000000E-01	4.258E-01
-1.70500000E-01	4.238E-01
-1.70000000E-01	4.221E-01
-1.69500000E-01	4.199E-01
-1.69000000E-01	4.180E-01
-1.68500000E-01	4.162E-01
-1.68000000E-01	4.143E-01
-1.67500000E-01	4.123E-01
-1.67000000E-01	4.102E-01
-1.66500000E-01	4.084E-01
-1.66000000E-01	4.064E-01
-1.65500000E-01	4.043E-01
-1.65000000E-01	4.023E-01
-1.64500000E-01	4.004E-01
-1.64000000E-01	3.984E-01
-1.63500000E-01	3.963E-01
-1.63000000E-01	3.941E-01
-1.62500000E-01	3.920E-01
-1.62000000E-01	3.898E-01
-1.61500000E-01	3.879E-01
-1.61000000E-01	3.859E-01
-1.60500000E-01	3.836E-01
-1.60000000E-01	3.816E-01
-1.59500000E-01	3.795E-01
-1.59000000E-01	3.773E-01
-1.58500000E-01	3.752E-01
-1.58000000E-01	3.732E-01
-1.57500000E-01	3.711E-01
-1.57000000E-01	3.691E-01
-1.56500000E-01	3.670E-01
-1.56000000E-01	3.650E-01
-1.55500000E-01	3.631E-01
-1.55000000E-01	3.609E-01
-1.54500000E-01	3.590E-01
-1.54000000E-01	3.568E-01
-1.53500000E-01	3.547E-01
-1.53000000E-01	3.527E-01
-1.52500000E-01	3.506E-01
-1.52000000E-01	3.486E-01
-1.51500000E-01	3.467E-01
-1.51000000E-01	3.447E-01
-1.50500000E-01	3.426E-01
-1.50000000E-01	3.408E-01
-1.49500000E-01	3.389E-01
-1.49000000E-01	3.369E-01
-1.48500000E-01	3.348E-01
-1.48000000E-01	3.326E-01
-1.47500000E-01	3.305E-01
-1.47000000E-01	3.285E-01
-1.46500000E-01	3.266E-01
-1.46000000E-01	3.246E-01
-1.45500000E-01	3.227E-01
-1.45000000E-01	3.207E-01
-1.44500000E-01	3.189E-01
-1.44000000E-01	3.168E-01
-1.43500000E-01	3.148E-01
-1.43000000E-01	3.127E-01
-1.42500000E-01	3.107E-01
-1.42000000E-01	3.088E-01
-1.41500000E-01	3.070E-01
-1.41000000E-01	3.051E-01
-1.40500000E-01	3.031E-01
-1.40000000E-01	3.014E-01
-1.39500000E-01	2.994E-01
-1.39000000E-01	2.977E-01
-1.38500000E-01	2.957E-01
-1.38000000E-01	2.939E-01
-1.37500000E-01	2.924E-01
-1.37000000E-01	2.906E-01
-1.36500000E-01	2.889E-01
-1.36000000E-01	2.871E-01
-1.35500000E-01	2.854E-01
-1.35000000E-01	2.838E-01
-1.34500000E-01	2.824E-01
-1.34000000E-01	2.809E-01
-1.33500000E-01	2.791E-01
-1.33000000E-01	2.773E-01
-1.32500000E-01	2.756E-01
-1.32000000E-01	2.740E-01
-1.31500000E-01	2.723E-01
-1.31000000E-01	2.707E-01
-1.30500000E-01	2.691E-01
-1.30000000E-01	2.676E-01
-1.29500000E-01	2.662E-01
-1.29000000E-01	2.646E-01
-1.28500000E-01	2.633E-01
-1.28000000E-01	2.615E-01
-1.27500000E-01	2.602E-01
-1.27000000E-01	2.588E-01
-1.26500000E-01	2.574E-01
-1.26000000E-01	2.561E-01
-1.25500000E-01	2.549E-01
-1.25000000E-01	2.537E-01
-1.24500000E-01	2.525E-01
-1.24000000E-01	2.514E-01
-1.23500000E-01	2.502E-01
-1.23000000E-01	2.490E-01
-1.22500000E-01	2.479E-01
-1.22000000E-01	2.469E-01
-1.21500000E-01	2.461E-01
-1.21000000E-01	2.451E-01
-1.20500000E-01	2.445E-01
-1.20000000E-01	2.438E-01
-1.19500000E-01	2.432E-01
-1.19000000E-01	2.426E-01
-1.18500000E-01	2.422E-01
-1.18000000E-01	2.418E-01
-1.17500000E-01	2.414E-01
-1.17000000E-01	2.412E-01
-1.16500000E-01	2.412E-01
-1.16000000E-01	2.412E-01
-1.15500000E-01	2.414E-01
-1.15000000E-01	2.416E-01
-1.14500000E-01	2.420E-01
-1.14000000E-01	2.424E-01
-1.13500000E-01	2.428E-01
-1.13000000E-01	2.432E-01
-1.12500000E-01	2.430E-01
-1.12000000E-01	2.424E-01
-1.11500000E-01	2.408E-01
-1.11000000E-01	2.383E-01
-1.10500000E-01	2.348E-01
-1.10000000E-01	2.311E-01
-1.09500000E-01	2.270E-01
-1.09000000E-01	2.230E-01
-1.08500000E-01	2.195E-01
-1.08000000E-01	2.158E-01
-1.07500000E-01	2.123E-01
-1.07000000E-01	2.090E-01
-1.06500000E-01	2.063E-01
-1.06000000E-01	2.035E-01
-1.05500000E-01	2.010E-01
-1.05000000E-01	1.984E-01
-1.04500000E-01	1.963E-01
-1.04000000E-01	1.939E-01
-1.03500000E-01	1.920E-01
-1.03000000E-01	1.898E-01
-1.02500000E-01	1.881E-01
-1.02000000E-01	1.863E-01
-1.01500000E-01	1.850E-01
-1.01000000E-01	1.832E-01
-1.00500000E-01	1.816E-01
-1.00000000E-01	1.803E-01
-9.95000000E-02	1.789E-01
-9.90000000E-02	1.775E-01
-9.85000000E-02	1.762E-01
-9.80000000E-02	1.750E-01
-9.75000000E-02	1.738E-01
-9.70000000E-02	1.727E-01
-9.65000000E-02	1.717E-01
-9.60000000E-02	1.707E-01
-9.55000000E-02	1.697E-01
-9.50000000E-02	1.688E-01
-9.45000000E-02	1.678E-01
-9.40000000E-02	1.670E-01
-9.35000000E-02	1.662E-01
-9.30000000E-02	1.656E-01
-9.25000000E-02	1.648E-01
-9.20000000E-02	1.643E-01
-9.15000000E-02	1.637E-01
-9.10000000E-02	1.633E-01
-9.05000000E-02	1.629E-01
-9.00000000E-02	1.625E-01
-8.95000000E-02	1.623E-01
-8.90000000E-02	1.621E-01
-8.85000000E-02	1.621E-01
-8.80000000E-02	1.621E-01
-8.75000000E-02	1.623E-01
-8.70000000E-02	1.625E-01
-8.65000000E-02	1.631E-01
-8.60000000E-02	1.635E-01
-8.55000000E-02	1.641E-01
-8.50000000E-02	1.650E-01
-8.45000000E-02	1.660E-01
-8.40000000E-02	1.672E-01
-8.35000000E-02	1.688E-01
-8.30000000E-02	1.705E-01
-8.25000000E-02	1.723E-01
-8.20000000E-02	1.744E-01
-8.15000000E-02	1.768E-01
-8.10000000E-02	1.793E-01
-8.05000000E-02	1.822E-01
-8.00000000E-02	1.854E-01
-7.95000000E-02	1.885E-01
-7.90000000E-02	1.916E-01
-7.85000000E-02	1.947E-01
-7.80000000E-02	1.973E-01
-7.75000000E-02	1.986E-01
-7.70000000E-02	1.982E-01
-7.65000000E-02	1.957E-01
-7.60000000E-02	1.914E-01
-7.55000000E-02	1.855E-01
-7.50000000E-02	1.791E-01
-7.45000000E-02	1.727E-01
-7.40000000E-02	1.666E-01
-7.35000000E-02	1.609E-01
-7.30000000E-02	1.553E-01
-7.25000000E-02	1.502E-01
-7.20000000E-02	1.451E-01
-7.15000000E-02	1.408E-01
-7.10000000E-02	1.369E-01
-7.05000000E-02	1.332E-01
-7.00000000E-02	1.299E-01
-6.95000000E-02	1.270E-01
-6.90000000E-02	1.244E-01
-6.85000000E-02	1.219E-01
-6.80000000E-02	1.193E-01
-6.75000000E-02	1.170E-01
-6.70000000E-02	1.148E-01
-6.65000000E-02	1.129E-01
-6.60000000E-02	1.111E-01
-6.55000000E-02	1.094E-01
-6.50000000E-02	1.076E-01
-6.45000000E-02	1.061E-01
-6.40000000E-02	1.047E-01
-6.35000000E-02	1.035E-01
-6.30000000E-02	1.021E-01
-6.25000000E-02	1.010E-01
-6.20000000E-02	1.000E-01
-6.15000000E-02	9.883E-02
-6.10000000E-02	9.785E-02
-6.05000000E-02	9.688E-02
-6.00000000E-02	9.590E-02
-5.95000000E-02	9.492E-02
-5.90000000E-02	9.414E-02
-5.85000000E-02	9.316E-02
-5.80000000E-02	9.238E-02
-5.75000000E-02	9.160E-02
-5.70000000E-02	9.082E-02
-5.65000000E-02	9.023E-02
-5.60000000E-02	8.945E-02
-5.55000000E-02	8.887E-02
-5.50000000E-02	8.848E-02
-5.45000000E-02	8.789E-02
-5.40000000E-02	8.730E-02
-5.35000000E-02	8.691E-02
-5.30000000E-02	8.652E-02
-5.25000000E-02	8.613E-02
-5.20000000E-02	8.574E-02
-5.15000000E-02	8.555E-02
-5.10000000E-02	8.516E-02
-5.05000000E-02	8.496E-02
-5.00000000E-02	8.477E-02
-4.95000000E-02	8.457E-02
-4.90000000E-02	8.457E-02
-4.85000000E-02	8.438E-02
-4.80000000E-02	8.438E-02
-4.75000000E-02	8.457E-02
-4.70000000E-02	8.477E-02
-4.65000000E-02	8.496E-02
-4.60000000E-02	8.516E-02
-4.55000000E-02	8.555E-02
-4.50000000E-02	8.594E-02
-4.45000000E-02	8.652E-02
-4.40000000E-02	8.711E-02
-4.35000000E-02	8.789E-02
-4.30000000E-02	8.867E-02
-4.25000000E-02	8.984E-02
-4.20000000E-02	9.121E-02
-4.15000000E-02	9.238E-02
-4.10000000E-02	9.395E-02
-4.05000000E-02	9.570E-02
-4.00000000E-02	9.746E-02
-3.95000000E-02	9.941E-02
-3.90000000E-02	1.014E-01
-3.85000000E-02	1.031E-01
-3.80000000E-02	1.047E-01
-3.75000000E-02	1.059E-01
-3.70000000E-02	1.063E-01
-3.65000000E-02	1.059E-01
-3.60000000E-02	1.049E-01
-3.55000000E-02	1.035E-01
-3.50000000E-02	1.021E-01
-3.45000000E-02	1.006E-01
-3.40000000E-02	9.922E-02
-3.35000000E-02	9.805E-02
-3.30000000E-02	9.727E-02
-3.25000000E-02	9.668E-02
-3.20000000E-02	9.668E-02
-3.15000000E-02	9.688E-02
-3.10000000E-02	9.746E-02
-3.05000000E-02	9.844E-02
-3.00000000E-02	1.000E-01
-2.95000000E-02	1.016E-01
-2.90000000E-02	1.031E-01
-2.85000000E-02	1.047E-01
-2.80000000E-02	1.061E-01
-2.75000000E-02	1.068E-01
-2.70000000E-02	1.066E-01
-2.65000000E-02	1.051E-01
-2.60000000E-02	1.025E-01
-2.55000000E-02	9.902E-02
-2.50000000E-02	9.512E-02
-2.45000000E-02	9.102E-02
-2.40000000E-02	8.672E-02
-2.35000000E-02	8.281E-02
-2.30000000E-02	7.891E-02
-2.25000000E-02	7.539E-02
-2.20000000E-02	7.227E-02
-2.15000000E-02	6.934E-02
-2.10000000E-02	6.680E-02
-2.05000000E-02	6.465E-02
-2.00000000E-02	6.250E-02
-1.95000000E-02	6.074E-02
-1.90000000E-02	5.918E-02
-1.85000000E-02	5.801E-02
-1.80000000E-02	5.684E-02
-1.75000000E-02	5.566E-02
-1.70000000E-02	5.469E-02
-1.65000000E-02	5.391E-02
-1.60000000E-02	5.313E-02
-1.55000000E-02	5.234E-02
-1.50000000E-02	5.176E-02
-1.45000000E-02	5.117E-02
-1.40000000E-02	5.059E-02
-1.35000000E-02	5.020E-02
-1.30000000E-02	4.961E-02
-1.25000000E-02	4.922E-02
-1.20000000E-02	4.883E-02
-1.15000000E-02	4.824E-02
-1.10000000E-02	4.785E-02
-1.05000000E-02	4.746E-02
-1.00000000E-02	4.727E-02
-9.50000000E-03	4.688E-02
-9.00000000E-03	4.668E-02
-8.50000000E-03	4.629E-02
-8.00000000E-03	4.609E-02
-7.50000000E-03	4.570E-02
-7.00000000E-03	4.551E-02
-6.50000000E-03	4.531E-02
-6.00000000E-03	4.512E-02
-5.50000000E-03	4.492E-02
-5.00000000E-03	4.473E-02
-4.50000000E-03	4.473E-02
-4.00000000E-03	4.453E-02
-3.50000000E-03	4.434E-02
-3.00000000E-03	4.414E-02
-2.50000000E-03	4.414E-02
-2.00000000E-03	4.395E-02
-1.50000000E-03	4.395E-02
-1.00000000E-03	4.395E-02
-5.00000000E-04	4.375E-02
5.20417043E-18	4.375E-02
5.00000000E-04	4.375E-02
1.00000000E-03	4.375E-02
1.50000000E-03	4.375E-02
2.00000000E-03	4.375E-02
2.50000000E-03	4.375E-02
3.00000000E-03	4.375E-02
3.50000000E-03	4.395E-02
4.00000000E-03	4.395E-02
4.50000000E-03	4.414E-02
5.00000000E-03	4.434E-02
5.50000000E-03	4.453E-02
6.00000000E-03	4.492E-02
6.50000000E-03	4.531E-02
7.00000000E-03	4.570E-02
7.50000000E-03	4.629E-02
8.00000000E-03	4.688E-02
